artist rymrat prat reviews
OutKast 4.02 6,116 160
"Lou Reed" 3.95 11,708 346
"George Harrison" 4.06 7,119 378
"At the Drive-In" 3.89 10,540 354
Fishmans 4.05 5,101 107
"Berliner Philharmoniker" 4.20 897 43
Queen 3.89 10,183 485
Genesis 3.98 7,203 291
"Boards of Canada" 3.91 9,377 220
"Robert Wyatt" 3.95 6,530 266
"Cocteau Twins" 3.96 8,920 242
"Otis Redding" 4.05 4,505 143
Burzum 3.92 8,538 265
R.E.M. 3.93 11,841 454
"Charlie Mingus" 4.09 3,851 131
Pavement 3.89 11,366 380
"The Replacements" 3.96 7,349 273
Swans 3.88 9,356 282
"Neil Young" 4.01 6,458 228
Björk 3.86 12,316 269
Radiohead 3.82 13,366 357
"The Clash" 3.92 9,843 387
Swans 3.87 9,441 335
"Captain Beefheart and His Magic Band" 3.95 8,330 290
"Deep Purple" 3.96 7,219 298
"The Doors" 3.92 10,223 367
Wire 3.99 6,612 195
"Milton Nascimento" 4.06 3,316 104
"Patti Smith" 3.94 8,729 286
"The Flaming Lips" 3.82 13,423 430
"Animal Collective" 3.68 17,397 900
"Kanye West" 3.85 12,264 255
"Tom Waits" 4.01 6,442 201
Opeth 3.94 7,411 258
"Death Grips" 3.82 14,201 340
"Alice Coltrane featuring Pharoah Sanders" 4.06 3,635 84
"T. Rex" 3.96 6,781 274
"Miles Davis" 4.05 4,016 157
Dinosaur 3.90 9,446 252
"The Smiths" 3.85 11,925 346
"Nick Cave and The Bad Seeds" 3.97 7,194 144
Ramones 3.88 9,403 481
Metallica 3.78 14,687 717
"The Dave Brubeck Quartet" 4.04 3,683 104
"Kate Bush" 3.97 5,896 195
"Yo La Tengo" 3.98 6,018 227
"The Kinks" 3.93 8,318 229
"Electric Wizard" 4.04 5,179 203
Genesis 3.93 7,892 287
Weezer 3.97 6,300 294
"Daft Punk" 3.87 13,198 521
"Elliott Smith" 3.79 13,100 346
"Art Blakey and The Jazz Messengers" 3.94 8,030 191
Death 4.05 3,765 114
Rainbow 3.95 6,506 206
Converge 4.02 3,838 92
"Brian Eno" 3.98 5,207 256
"This Heat" 3.88 7,700 328
"Berliner Philharmoniker" 3.95 6,306 212
"Herbie Hancock" 3.96 5,847 173
"John Lennon" 4.10 534 6
"Faith No More" 3.89 8,293 318
"The Mars Volta" 3.79 11,300 448
Prince 4.02 5,280 223
"Simon and Garfunkel" 3.97 7,458 274
"Crosby, Stills, Nash & Young" 3.97 5,525 222
Soundgarden 3.85 9,767 368
"The Stooges" 3.90 9,090 308
Pulp 3.94 7,770 259
"Hüsker Dü" 3.92 7,688 249
"The Who" 3.94 6,773 333
"The National" 3.85 10,052 334
"LCD Soundsystem" 3.84 10,428 285
"Soft Machine" 3.94 5,180 195
"Talking Heads" 3.91 8,563 213
"The Jesus and Mary Chain" 3.82 10,791 340
"King Crimson" 3.91 7,448 236
Minutemen 3.93 7,169 281
"Red House Painters" 3.92 6,152 189
"Ennio Morricone" 4.08 1,672 51
Agalloch 3.92 6,224 216
"Serge Gainsbourg" 3.93 5,760 200
Wire 3.97 5,402 154
Slayer 3.91 7,084 252
Unwound 3.94 5,318 138
Ramones 3.94 6,197 215
Isis 3.90 6,513 202
Camel 3.96 5,476 186
"Novos Baianos" 4.05 2,146 55
Agalloch 3.86 7,573 255
"John Coltrane" 4.04 2,916 92
"Townes Van Zandt" 4.02 3,058 77
"Sly & The Family Stone" 4.00 3,388 70
"John Coltrane" 3.95 5,001 192
"The Kinks" 3.99 3,994 143
Fugazi 3.98 5,494 239
"Arcade Fire" 3.88 8,030 156
"The Modern Lovers" 3.69 15,726 582
Coil 3.93 5,660 225
Faust 3.93 5,422 123
Burial 3.83 11,132 351
Burzum 3.88 6,690 244
"The Magnetic Fields" 3.88 6,549 281
"Van der Graaf Generator" 3.94 4,345 177
"Sly and The Family Stone" 3.98 4,141 149
Spiritualized® 3.83 9,295 235
"Iron Maiden" 3.87 8,733 366
Mastodon 3.84 7,823 335
"Jorge Ben" 4.03 2,320 77
"Mos Def" 3.93 5,481 179
"Artur Rubinstein" 4.06 1,140 28
"Vince Guaraldi" 4.01 2,957 144
Ulver 3.91 6,454 160
"Cannonball Adderley" 3.98 3,657 129
"Black Sabbath" 3.88 7,308 315
"Bruce Springsteen" 3.94 5,707 205
"Captain Beefheart & His Magic Band" 3.74 10,302 758
"Have a Nice Life" 3.85 8,772 285
"Panda Bear" 3.81 9,383 370
Yes 3.91 6,761 264
Kraftwerk 3.92 5,960 161
"Sonny Rollins" 3.98 3,440 99
Death 3.89 6,269 235
NEU! 3.86 7,665 236
"Chef Raekwon" 3.93 5,245 227
"Violent Femmes" 3.87 8,703 302
"Sonic Youth" 3.87 8,229 202
"Elvis Costello" 3.93 6,823 257
"Roxy Music" 3.91 5,655 206
"Guided by Voices" 3.88 6,480 243
Wipers 3.97 4,301 125
"Animal Collective" 3.75 12,092 382
"The Band" 3.95 5,424 252
"Wiener Philharmoniker" 4.09 470 6
"David Bowie" 3.86 11,123 372
"New York Philharmonic" 4.03 1,174 31
"Bob Marley" 3.96 4,609 157
"Pere Ubu" 3.89 6,192 213
"Stan Getz & João Gilberto featuring Antônio Carlos Jobim" 3.96 4,475 147
"The John Coltrane Quartet" 4.03 2,482 52
NEU! 3.94 4,904 122
"Talking Heads" 3.83 9,827 245
"Chico Buarque" 3.99 2,598 75
"Scott Engel" 3.93 4,679 154
Low 3.90 5,592 136
Santana 3.94 4,775 181
"Gang Starr" 3.99 3,100 114
"Morbid Angel" 3.91 5,029 156
Death 3.92 5,354 150
"Judas Priest" 3.91 5,143 249
"Bruce Springsteen" 3.88 6,707 270
"Dead Can Dance" 3.90 5,168 145
"Organized Konfusion" 3.99 2,553 97
"Charles Mingus" 4.00 2,991 75
Nico 3.90 4,961 143
Emperor 3.90 5,537 179
Eno 3.92 5,782 167
